Vehicle.Trip.TripId,Vehicle.Trip.RouteId,Vehicle.Timestamp,Vehicle.Vehicle.Id,Vehicle.Position.Latitude,Vehicle.Position.Longitude,Vehicle.Position.Bearing,Vehicle.Position.Speed,Vehicle.occupancy_status
1092432,2439_259,1621408151,11954_173547919_2439_259_1,-33.803104,151.16913,109.0,7.6,1
1091543,2439_259,1621408164,11954_173547871_2439_259_1,-33.777298,151.11813,24.0,6.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408150,11954_173547917_2439_259_1,-33.79256,151.16238,263.0,13.9,1
1091943,2439_259,1621408163,11954_173547916_2439_259_1,-33.776077,151.12802,222.0,10.8,1
1092111,2439_259,1621408163,11954_173547869_2439_259_1,-33.79672,151.16992,66.0,16.1,1
1091544,2439_259,1621408169,11954_173547872_2439_259_1,-33.77669,151.12738,221.0,14.1,1
1091542,2439_259,1621408168,11954_173547870_2439_259_1,-33.782085,151.1319,221.0,0.0,1
1092432,2439_259,1621408167,11954_173547919_2439_259_1,-33.80324,151.16977,117.0,5.6,1
1091543,2439_259,1621408164,11954_173547871_2439_259_1,-33.777298,151.11813,24.0,6.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408165,11954_173547917_2439_259_1,-33.7927,151.16026,277.0,11.9,1
1091943,2439_259,1621408169,11954_173547916_2439_259_1,-33.77669,151.12738,221.0,14.1,1
1092111,2439_259,1621408167,11954_173547869_2439_259_1,-33.79648,151.17056,65.0,15.9,1
1091544,2439_259,1621408081,11954_173547872_2439_259_1,-33.77839,151.13203,308.0,8.5,1
1091542,2439_259,1621408085,11954_173547870_2439_259_1,-33.779057,151.13316,130.0,0.0,1
1091543,2439_259,1621408076,11954_173547871_2439_259_1,-33.777992,151.11882,312.0,12.6,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408081,11954_173547917_2439_259_1,-33.79623,151.16797,271.0,7.6,1
1091943,2439_259,1621408081,11954_173547916_2439_259_1,-33.77839,151.13203,308.0,8.5,1
1092111,2439_259,1621408079,11954_173547869_2439_259_1,-33.792633,151.15962,102.0,16.1,1
1091479,2439_259,1621408076,11954_173547915_2439_259_1,-33.777992,151.11882,312.0,12.6,1
1091544,2439_259,1621408071,11954_173547872_2439_259_1,-33.779003,151.13292,311.0,9.8,1
1091542,2439_259,1621408070,11954_173547870_2439_259_1,-33.77877,151.13272,129.0,10.2,1
1091543,2439_259,1621408076,11954_173547871_2439_259_1,-33.777992,151.11882,312.0,12.6,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408076,11954_173547917_2439_259_1,-33.796227,151.16844,269.0,5.3,1
1091943,2439_259,1621408071,11954_173547916_2439_259_1,-33.779003,151.13292,311.0,9.8,1
1092111,2439_259,1621408079,11954_173547869_2439_259_1,-33.792633,151.15962,102.0,16.1,1
1091479,2439_259,1621408076,11954_173547915_2439_259_1,-33.777992,151.11882,312.0,12.6,1
1091544,2439_259,1621408118,11954_173547872_2439_259_1,-33.77809,151.13158,323.0,3.1,1
1091542,2439_259,1621408117,11954_173547870_2439_259_1,-33.77953,151.13376,131.0,4.7,1
1092432,2439_259,1621408113,11954_173547919_2439_259_1,-33.802616,151.16751,119.0,8.1,1
1091543,2439_259,1621408106,11954_173547871_2439_259_1,-33.777603,151.1183,311.0,0.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408112,11954_173547917_2439_259_1,-33.794178,151.16641,331.0,11.8,1
1091943,2439_259,1621408118,11954_173547916_2439_259_1,-33.77809,151.13158,323.0,3.1,1
1092111,2439_259,1621408104,11954_173547869_2439_259_1,-33.792625,151.16348,109.0,14.0,1
1091479,2439_259,1621408106,11954_173547915_2439_259_1,-33.777603,151.1183,311.0,0.0,1
1091544,2439_259,1621408096,11954_173547872_2439_259_1,-33.77813,151.13162,309.0,0.0,1
1091542,2439_259,1621408100,11954_173547870_2439_259_1,-33.779133,151.13324,148.0,3.6,1
1092432,2439_259,1621408100,11954_173547919_2439_259_1,-33.80191,151.16641,122.0,9.9,1
1091543,2439_259,1621408091,11954_173547871_2439_259_1,-33.777603,151.1183,311.0,0.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408097,11954_173547917_2439_259_1,-33.795586,151.16692,342.0,8.6,1
1091943,2439_259,1621408096,11954_173547916_2439_259_1,-33.77813,151.13162,309.0,0.0,1
1092111,2439_259,1621408104,11954_173547869_2439_259_1,-33.792625,151.16348,109.0,14.0,1
1091479,2439_259,1621408091,11954_173547915_2439_259_1,-33.777603,151.1183,311.0,0.0,1
1091544,2439_259,1621408277,11954_173547872_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1091542,2439_259,1621408275,11954_173547870_2439_259_1,-33.78314,151.13075,226.0,3.2,1
1092432,2439_259,1621408270,11954_173547919_2439_259_1,-33.802032,151.17545,355.0,4.9,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408259,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408265,11954_173547917_2439_259_1,-33.79253,151.15303,227.0,11.9,1
1091943,2439_259,1621408277,11954_173547916_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1092111,2439_259,1621408272,11954_173547869_2439_259_1,-33.795826,151.1773,109.0,0.0,1
1091544,2439_259,1621408293,11954_173547872_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1091542,2439_259,1621408290,11954_173547870_2439_259_1,-33.783176,151.1307,226.0,0.0,1
1092432,2439_259,1621408286,11954_173547919_2439_259_1,-33.801147,151.17537,355.0,7.5,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408259,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408280,11954_173547917_2439_259_1,-33.794147,151.15175,202.0,15.3,1
1091943,2439_259,1621408293,11954_173547916_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1092111,2439_259,1621408287,11954_173547869_2439_259_1,-33.795826,151.1773,109.0,0.0,1
1091544,2439_259,1621408262,11954_173547872_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1091542,2439_259,1621408259,11954_173547870_2439_259_1,-33.782543,151.13142,222.0,6.5,1
1092432,2439_259,1621408260,11954_173547919_2439_259_1,-33.802372,151.175,79.0,9.2,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408259,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408247,11954_173547917_2439_259_1,-33.79213,151.15509,277.0,9.6,1
1091943,2439_259,1621408262,11954_173547916_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1092111,2439_259,1621408257,11954_173547869_2439_259_1,-33.795826,151.1773,109.0,0.0,1
1091544,2439_259,1621408252,11954_173547872_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1091542,2439_259,1621408243,11954_173547870_2439_259_1,-33.782436,151.13155,221.0,0.0,1
1092432,2439_259,1621408244,11954_173547919_2439_259_1,-33.80321,151.17441,0.0,7.6,1
1091543,2439_259,1621408252,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408247,11954_173547917_2439_259_1,-33.79213,151.15509,277.0,9.6,1
1091943,2439_259,1621408252,11954_173547916_2439_259_1,-33.778328,151.12581,221.0,0.0,1
1092111,2439_259,1621408241,11954_173547869_2439_259_1,-33.795788,151.17715,106.0,1.3,1
1091544,2439_259,1621408241,11954_173547872_2439_259_1,-33.778324,151.12582,221.0,0.0,1
1091542,2439_259,1621408243,11954_173547870_2439_259_1,-33.782436,151.13155,221.0,0.0,1
1092432,2439_259,1621408230,11954_173547919_2439_259_1,-33.804253,151.1745,53.0,10.2,1
1091543,2439_259,1621408219,11954_173547871_2439_259_1,-33.775227,151.12027,41.0,4.7,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408242,11954_173547917_2439_259_1,-33.792362,151.15552,325.0,8.7,1
1091943,2439_259,1621408241,11954_173547916_2439_259_1,-33.778324,151.12582,221.0,0.0,1
1092111,2439_259,1621408241,11954_173547869_2439_259_1,-33.795788,151.17715,106.0,1.3,1
1091544,2439_259,1621408195,11954_173547872_2439_259_1,-33.778133,151.126,217.0,0.0,1
1091542,2439_259,1621408198,11954_173547870_2439_259_1,-33.782333,151.13164,221.0,1.9,1
1092432,2439_259,1621408194,11954_173547919_2439_259_1,-33.803978,151.1716,73.0,10.4,1
1091543,2439_259,1621408204,11954_173547871_2439_259_1,-33.776165,151.11928,39.0,12.2,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408196,11954_173547917_2439_259_1,-33.79274,151.15683,256.0,8.4,1
1091943,2439_259,1621408195,11954_173547916_2439_259_1,-33.778133,151.126,217.0,0.0,1
1092111,2439_259,1621408199,11954_173547869_2439_259_1,-33.79622,151.17386,68.0,11.8,1
1091544,2439_259,1621408210,11954_173547872_2439_259_1,-33.778324,151.12582,221.0,0.0,1
1091542,2439_259,1621408213,11954_173547870_2439_259_1,-33.782436,151.13155,221.0,0.0,1
1092432,2439_259,1621408194,11954_173547919_2439_259_1,-33.803978,151.1716,73.0,10.4,1
1091543,2439_259,1621408204,11954_173547871_2439_259_1,-33.776165,151.11928,39.0,12.2,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408211,11954_173547917_2439_259_1,-33.792915,151.15623,265.0,0.6,1
1091943,2439_259,1621408210,11954_173547916_2439_259_1,-33.778324,151.12582,221.0,0.0,1
1092111,2439_259,1621408207,11954_173547869_2439_259_1,-33.795925,151.17471,68.0,8.2,1
1091544,2439_259,1621408231,11954_173547872_2439_259_1,-33.778324,151.12582,221.0,0.0,1
1091542,2439_259,1621408228,11954_173547870_2439_259_1,-33.782436,151.13155,221.0,0.0,1
1092432,2439_259,1621408230,11954_173547919_2439_259_1,-33.804253,151.1745,53.0,10.2,1
1091543,2439_259,1621408219,11954_173547871_2439_259_1,-33.775227,151.12027,41.0,4.7,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408232,11954_173547917_2439_259_1,-33.792866,151.156,293.0,4.6,1
1091943,2439_259,1621408231,11954_173547916_2439_259_1,-33.778324,151.12582,221.0,0.0,1
1092111,2439_259,1621408220,11954_173547869_2439_259_1,-33.795727,151.17578,92.0,10.5,1
1091544,2439_259,1621408037,11954_173547872_2439_259_1,-33.779472,151.13351,308.0,3.7,1
1091542,2439_259,1621408047,11954_173547870_2439_259_1,-33.777084,151.1304,131.0,12.7,1
1091543,2439_259,1621408041,11954_173547871_2439_259_1,-33.779037,151.12018,312.0,1.2,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408045,11954_173547917_2439_259_1,-33.796227,151.1687,269.0,0.1,1
1091943,2439_259,1621408037,11954_173547916_2439_259_1,-33.779472,151.13351,308.0,3.7,1
1092111,2439_259,1621408037,11954_173547869_2439_259_1,-33.792763,151.1565,78.0,0.0,1
1091479,2439_259,1621408041,11954_173547915_2439_259_1,-33.779037,151.12018,312.0,1.2,1
1091544,2439_259,1621408003,11954_173547872_2439_259_1,-33.78106,151.13243,41.0,11.8,1
1091542,2439_259,1621408012,11954_173547870_2439_259_1,-33.775887,151.1288,128.0,1.8,1
1091543,2439_259,1621408017,11954_173547871_2439_259_1,-33.78011,151.12157,294.0,5.1,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408006,11954_173547917_2439_259_1,-33.795753,151.17223,276.0,11.3,1
1091943,2439_259,1621408003,11954_173547916_2439_259_1,-33.78106,151.13243,41.0,11.8,1
1092111,2439_259,1621408009,11954_173547869_2439_259_1,-33.792603,151.15584,148.0,1.3,1
1091479,2439_259,1621408017,11954_173547915_2439_259_1,-33.78011,151.12157,294.0,5.1,1
1091544,2439_259,1621408037,11954_173547872_2439_259_1,-33.779472,151.13351,308.0,3.7,1
1091542,2439_259,1621408037,11954_173547870_2439_259_1,-33.776306,151.12933,130.0,10.2,1
1091543,2439_259,1621408034,11954_173547871_2439_259_1,-33.779312,151.12054,312.0,13.2,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408028,11954_173547917_2439_259_1,-33.795895,151.16986,249.0,12.4,1
1091943,2439_259,1621408037,11954_173547916_2439_259_1,-33.779472,151.13351,308.0,3.7,1
1092111,2439_259,1621408037,11954_173547869_2439_259_1,-33.792763,151.1565,78.0,0.0,1
1091479,2439_259,1621408034,11954_173547915_2439_259_1,-33.779312,151.12054,312.0,13.2,1
1091544,2439_259,1621408059,11954_173547872_2439_259_1,-33.779446,151.13347,308.0,0.5,1
1091542,2439_259,1621408051,11954_173547870_2439_259_1,-33.77739,151.13081,132.0,12.7,1
1091543,2439_259,1621408057,11954_173547871_2439_259_1,-33.779037,151.12018,312.0,0.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408045,11954_173547917_2439_259_1,-33.796227,151.1687,269.0,0.1,1
1091943,2439_259,1621408059,11954_173547916_2439_259_1,-33.779446,151.13347,308.0,0.5,1
1092111,2439_259,1621408057,11954_173547869_2439_259_1,-33.792747,151.15671,88.0,4.5,1
1091479,2439_259,1621408057,11954_173547915_2439_259_1,-33.779037,151.12018,312.0,0.0,1
1091544,2439_259,1621408327,11954_173547872_2439_259_1,-33.778996,151.12514,220.0,10.4,1
1091542,2439_259,1621408335,11954_173547870_2439_259_1,-33.783478,151.13037,222.0,4.1,1
1092432,2439_259,1621408337,11954_173547919_2439_259_1,-33.80166,151.1724,278.0,0.5,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408259,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408334,11954_173547917_2439_259_1,-33.796165,151.1461,287.0,10.9,1
1091943,2439_259,1621408327,11954_173547916_2439_259_1,-33.778996,151.12514,220.0,10.4,1
1092111,2439_259,1621408332,11954_173547869_2439_259_1,-33.796,151.17789,110.0,7.5,1
1091544,2439_259,1621408327,11954_173547872_2439_259_1,-33.778996,151.12514,220.0,10.4,1
1091542,2439_259,1621408320,11954_173547870_2439_259_1,-33.783176,151.1307,226.0,0.0,1
1092432,2439_259,1621408286,11954_173547919_2439_259_1,-33.801147,151.17537,355.0,7.5,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408259,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408318,11954_173547917_2439_259_1,-33.79617,151.1478,247.0,11.1,1
1091943,2439_259,1621408327,11954_173547916_2439_259_1,-33.778996,151.12514,220.0,10.4,1
1092111,2439_259,1621408317,11954_173547869_2439_259_1,-33.795826,151.1773,109.0,0.0,1
1091544,2439_259,1621408351,11954_173547872_2439_259_1,-33.779423,151.12468,229.0,4.1,1
1091542,2439_259,1621408352,11954_173547870_2439_259_1,-33.78404,151.12979,218.0,5.1,1
1092432,2439_259,1621408349,11954_173547919_2439_259_1,-33.801655,151.17236,278.0,0.3,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408259,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408349,11954_173547917_2439_259_1,-33.795727,151.14429,286.0,9.4,1
1091943,2439_259,1621408351,11954_173547916_2439_259_1,-33.779423,151.12468,229.0,4.1,1
1092111,2439_259,1621408348,11954_173547869_2439_259_1,-33.79598,151.17928,70.0,9.3,1
1091544,2439_259,1621408363,11954_173547872_2439_259_1,-33.780167,151.12392,221.0,9.8,1
1091542,2439_259,1621408352,11954_173547870_2439_259_1,-33.78404,151.12979,218.0,5.1,1
1092432,2439_259,1621408361,11954_173547919_2439_259_1,-33.80161,151.17209,281.0,6.8,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408363,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408364,11954_173547917_2439_259_1,-33.795677,151.14406,283.0,0.0,1
1091943,2439_259,1621408363,11954_173547916_2439_259_1,-33.780167,151.12392,221.0,9.8,1
1091544,2439_259,1621408314,11954_173547872_2439_259_1,-33.77835,151.1258,221.0,0.5,1
1091542,2439_259,1621408305,11954_173547870_2439_259_1,-33.783176,151.1307,226.0,0.0,1
1092432,2439_259,1621408286,11954_173547919_2439_259_1,-33.801147,151.17537,355.0,7.5,1
1091543,2439_259,1621408261,11954_173547871_2439_259_1,-33.775616,151.12035,216.0,0.0,1
1092431,2439_259,1621408259,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408311,11954_173547917_2439_259_1,-33.795876,151.14862,247.0,12.7,1
1091943,2439_259,1621408314,11954_173547916_2439_259_1,-33.77835,151.1258,221.0,0.5,1
1092111,2439_259,1621408302,11954_173547869_2439_259_1,-33.795826,151.1773,109.0,0.0,1
1091544,2439_259,1621407987,11954_173547872_2439_259_1,-33.782375,151.13106,41.0,7.6,1
1091542,2439_259,1621407997,11954_173547870_2439_259_1,-33.776012,151.12828,41.0,7.6,1
1091543,2439_259,1621407997,11954_173547871_2439_259_1,-33.78029,151.12183,324.0,0.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621407986,11954_173547917_2439_259_1,-33.79538,151.17464,255.0,9.7,1
1091943,2439_259,1621407987,11954_173547916_2439_259_1,-33.782375,151.13106,41.0,7.6,1
1092111,2439_259,1621407994,11954_173547869_2439_259_1,-33.79253,151.15578,152.0,0.0,1
1091479,2439_259,1621407997,11954_173547915_2439_259_1,-33.78029,151.12183,324.0,0.0,1
1091544,2439_259,1621407953,11954_173547872_2439_259_1,-33.78263,151.13078,42.0,0.0,1
1091542,2439_259,1621407950,11954_173547870_2439_259_1,-33.778755,151.12547,41.0,0.0,1
1091543,2439_259,1621407954,11954_173547871_2439_259_1,-33.78092,151.12318,216.0,0.0,1
1092431,2439_259,1621407855,11954_173547918_2439_259_1,-33.796757,151.18048,179.0,0.0,1
1092430,2439_259,1621407940,11954_173547917_2439_259_1,-33.796425,151.17749,351.0,1.1,1
1091943,2439_259,1621407953,11954_173547916_2439_259_1,-33.78263,151.13078,42.0,0.0,1
1092111,2439_259,1621407948,11954_173547869_2439_259_1,-33.792233,151.15388,90.0,6.9,1
1091479,2439_259,1621407954,11954_173547915_2439_259_1,-33.78092,151.12318,216.0,0.0,1
1091544,2439_259,1621407974,11954_173547872_2439_259_1,-33.78263,151.13078,42.0,0.0,1
1091542,2439_259,1621407967,11954_173547870_2439_259_1,-33.778458,151.12578,40.0,8.4,1
1091543,2439_259,1621407967,11954_173547871_2439_259_1,-33.780983,151.12274,313.0,9.1,1
1092431,2439_259,1621407855,11954_173547918_2439_259_1,-33.796757,151.18048,179.0,0.0,1
1092430,2439_259,1621407971,11954_173547917_2439_259_1,-33.795406,151.1763,278.0,10.9,1
1091943,2439_259,1621407974,11954_173547916_2439_259_1,-33.78263,151.13078,42.0,0.0,1
1092111,2439_259,1621407964,11954_173547869_2439_259_1,-33.79201,151.1552,86.0,8.7,1
1091479,2439_259,1621407967,11954_173547915_2439_259_1,-33.780983,151.12274,313.0,9.1,1
1091544,2439_259,1621408003,11954_173547872_2439_259_1,-33.78106,151.13243,41.0,11.8,1
1091542,2439_259,1621407997,11954_173547870_2439_259_1,-33.776012,151.12828,41.0,7.6,1
1091543,2439_259,1621408004,11954_173547871_2439_259_1,-33.78029,151.12183,324.0,0.0,1
1092431,2439_259,1621407981,11954_173547918_2439_259_1,-33.79676,151.18048,179.0,0.0,1
1092430,2439_259,1621408006,11954_173547917_2439_259_1,-33.795753,151.17223,276.0,11.3,1
1091943,2439_259,1621408003,11954_173547916_2439_259_1,-33.78106,151.13243,41.0,11.8,1
1092111,2439_259,1621408009,11954_173547869_2439_259_1,-33.792603,151.15584,148.0,1.3,1
1091479,2439_259,1621408004,11954_173547915_2439_259_1,-33.78029,151.12183,324.0,0.0,1
1091544,2439_259,1621407964,11954_173547872_2439_259_1,-33.78263,151.13078,42.0,0.0,1
1091542,2439_259,1621407965,11954_173547870_2439_259_1,-33.778572,151.12567,40.0,7.8,1
1091543,2439_259,1621407960,11954_173547871_2439_259_1,-33.781033,151.12311,206.0,5.4,1
